age,workclass,occupation,hours.per.week,income,age_groups,Education Level
82,Private,Exec-managerial,18,<=50K,81-90,School Level
54,Private,Machine-op-inspct,40,<=50K,51-60,School Level
41,Private,Prof-specialty,40,<=50K,41-50,College Level
34,Private,Other-service,45,<=50K,31-40,School Level
38,Private,Adm-clerical,40,<=50K,31-40,School Level
74,State-gov,Prof-specialty,20,>50K,71-80,Masters
68,Federal-gov,Prof-specialty,40,<=50K,61-70,School Level
45,Private,Prof-specialty,35,>50K,41-50,Masters
38,Self-emp-not-inc,Prof-specialty,45,>50K,31-40,College Level
52,Private,Other-service,20,>50K,51-60,College Level
32,Private,Exec-managerial,55,>50K,31-40,Masters
46,Private,Prof-specialty,40,>50K,41-50,College Level
45,Private,Transport-moving,76,>50K,41-50,School Level
57,Private,Exec-managerial,50,>50K,51-60,Masters
34,Private,Sales,50,>50K,31-40,College Level
37,Private,Exec-managerial,40,>50K,31-40,College Level
29,Private,Sales,42,<=50K,21-30,School Level
61,Private,Sales,25,<=50K,61-70,School Level
51,Private,Transport-moving,40,<=50K,51-60,College Level
21,Private,Craft-repair,40,<=50K,17-20,Associate
33,Private,Craft-repair,32,<=50K,31-40,School Level
49,Private,Other-service,40,<=50K,41-50,School Level
37,Self-emp-inc,Transport-moving,50,>50K,31-40,School Level
23,Private,Other-service,40,>50K,21-30,College Level
59,Self-emp-inc,Exec-managerial,50,>50K,51-60,School Level
52,Private,Exec-managerial,60,>50K,51-60,College Level
51,Private,Exec-managerial,50,>50K,51-60,College Level
60,Self-emp-not-inc,Exec-managerial,50,>50K,51-60,School Level
63,Federal-gov,Exec-managerial,60,>50K,61-70,Masters
53,Private,Sales,48,>50K,51-60,School Level
51,Private,Prof-specialty,50,>50K,51-60,College Level
37,Self-emp-not-inc,Prof-specialty,60,>50K,31-40,Masters
54,Private,Prof-specialty,40,>50K,51-60,Masters
44,Private,Exec-managerial,50,>50K,41-50,College Level
43,Private,Exec-managerial,40,>50K,41-50,Masters
51,Private,Adm-clerical,40,>50K,51-60,College Level
43,Private,Prof-specialty,40,>50K,41-50,Masters
48,Private,Sales,70,>50K,41-50,College Level
71,Private,Sales,52,<=50K,71-80,School Level
73,Self-emp-not-inc,Farming-fishing,40,<=50K,71-80,School Level
40,Self-emp-not-inc,Prof-specialty,45,>50K,31-40,College Level
50,Private,Sales,72,>50K,41-50,School Level
51,State-gov,Tech-support,39,>50K,51-60,Associate
42,Private,Exec-managerial,40,>50K,41-50,College Level
39,Private,Sales,45,>50K,31-40,Masters
32,Private,Exec-managerial,50,>50K,31-40,College Level
53,Private,Craft-repair,45,>50K,51-60,College Level
40,Local-gov,Protective-serv,40,>50K,31-40,College Level
38,Private,Sales,45,>50K,31-40,College Level
33,Private,Craft-repair,42,>50K,31-40,Associate
43,Private,Craft-repair,70,>50K,41-50,Associate
50,Self-emp-inc,Exec-managerial,40,>50K,41-50,School Level
44,Private,Adm-clerical,6,>50K,41-50,College Level
51,Self-emp-not-inc,Sales,40,>50K,51-60,College Level
41,Private,Prof-specialty,40,>50K,41-50,College Level
37,Private,Exec-managerial,60,>50K,31-40,Masters
55,Self-emp-inc,Prof-specialty,35,>50K,51-60,College Level
39,Self-emp-inc,Sales,60,>50K,31-40,College Level
42,Self-emp-inc,Prof-specialty,60,>50K,41-50,College Level
49,Private,Sales,55,>50K,41-50,College Level
47,Self-emp-not-inc,Exec-managerial,50,>50K,41-50,School Level
41,Local-gov,Prof-specialty,45,>50K,41-50,College Level
55,Self-emp-inc,Exec-managerial,50,>50K,51-60,College Level
39,Private,Exec-managerial,65,>50K,31-40,Masters
42,Private,Exec-managerial,60,>50K,41-50,College Level
46,Private,Sales,65,>50K,41-50,Masters
40,Private,Exec-managerial,45,>50K,31-40,Masters
32,Private,Prof-specialty,48,>50K,31-40,College Level
41,Self-emp-inc,Exec-managerial,55,>50K,41-50,College Level
31,Private,Exec-managerial,70,>50K,31-40,Masters
58,Self-emp-not-inc,Farming-fishing,40,>50K,51-60,College Level
37,Self-emp-inc,Sales,50,>50K,31-40,College Level
44,Self-emp-not-inc,Exec-managerial,50,>50K,41-50,College Level
55,Self-emp-inc,Exec-managerial,50,>50K,51-60,College Level
44,Self-emp-inc,Prof-specialty,55,>50K,41-50,Masters
39,Private,Prof-specialty,67,>50K,31-40,College Level
46,Self-emp-not-inc,Sales,40,>50K,41-50,College Level
62,Self-emp-inc,Farming-fishing,60,>50K,61-70,College Level
31,Self-emp-not-inc,Other-service,40,>50K,31-40,School Level
46,Private,Adm-clerical,35,>50K,41-50,College Level
39,Self-emp-inc,Craft-repair,40,>50K,31-40,Associate
59,Private,Prof-specialty,45,>50K,51-60,Masters
50,Self-emp-inc,Prof-specialty,60,>50K,41-50,College Level
46,Private,Prof-specialty,55,>50K,41-50,Masters
53,Self-emp-not-inc,Exec-managerial,40,>50K,51-60,College Level
50,Self-emp-not-inc,Prof-specialty,30,>50K,41-50,College Level
41,Self-emp-inc,Exec-managerial,55,>50K,41-50,College Level
36,Private,Sales,45,>50K,31-40,College Level
54,Private,Sales,50,>50K,51-60,College Level
50,Private,Exec-managerial,20,>50K,41-50,College Level
47,Private,Exec-managerial,60,>50K,41-50,College Level
47,Self-emp-inc,Prof-specialty,45,>50K,41-50,College Level
67,Private,Exec-managerial,40,>50K,61-70,College Level
67,Self-emp-inc,Exec-managerial,75,>50K,61-70,College Level
72,Self-emp-not-inc,Prof-specialty,25,>50K,71-80,Masters
46,Self-emp-inc,Exec-managerial,50,>50K,41-50,Masters
78,Self-emp-inc,Exec-managerial,40,>50K,71-80,College Level
71,Self-emp-inc,Exec-managerial,60,>50K,71-80,College Level
83,Self-emp-inc,Exec-managerial,55,>50K,81-90,College Level
68,Private,Exec-managerial,40,>50K,61-70,Masters
26,Private,Adm-clerical,45,<=50K,21-30,Associate
68,State-gov,Prof-specialty,60,>50K,61-70,Masters
49,Self-emp-inc,Adm-clerical,40,>50K,41-50,School Level
36,Private,Prof-specialty,60,<=50K,31-40,School Level
70,Self-emp-not-inc,Craft-repair,12,>50K,61-70,College Level
27,Private,Adm-clerical,20,<=50K,21-30,College Level
35,Local-gov,Exec-managerial,40,<=50K,31-40,College Level
23,Private,Sales,40,<=50K,21-30,School Level
81,Private,Exec-managerial,26,>50K,81-90,School Level
66,Self-emp-not-inc,Sales,25,>50K,61-70,Masters
71,Private,Exec-managerial,45,>50K,71-80,School Level
68,Private,Sales,55,>50K,61-70,College Level
52,Private,Sales,40,<=50K,51-60,School Level
40,Self-emp-inc,Craft-repair,50,<=50K,31-40,Associate
21,Private,Exec-managerial,48,<=50K,17-20,College Level
35,Private,Craft-repair,40,<=50K,31-40,School Level
70,Self-emp-inc,Exec-managerial,50,>50K,61-70,College Level
61,Self-emp-not-inc,Farming-fishing,50,<=50K,61-70,School Level
65,Self-emp-inc,Farming-fishing,65,<=50K,61-70,School Level
46,Private,Craft-repair,45,<=50K,41-50,School Level
26,Local-gov,Prof-specialty,55,<=50K,21-30,College Level
59,Local-gov,Farming-fishing,40,<=50K,51-60,School Level
61,Private,Handlers-cleaners,40,<=50K,61-70,School Level
60,State-gov,Prof-specialty,40,<=50K,51-60,College Level
49,Self-emp-inc,Exec-managerial,50,<=50K,41-50,College Level
25,Private,Prof-specialty,35,<=50K,21-30,College Level
59,Local-gov,Protective-serv,40,<=50K,51-60,School Level
28,State-gov,Exec-managerial,40,<=50K,21-30,College Level
56,Self-emp-not-inc,Sales,60,<=50K,51-60,Masters
41,Private,Craft-repair,40,<=50K,41-50,School Level
42,Private,Adm-clerical,40,<=50K,41-50,School Level
28,Private,Prof-specialty,40,<=50K,21-30,College Level
40,Self-emp-not-inc,Other-service,35,<=50K,31-40,College Level
69,Private,Prof-specialty,40,>50K,61-70,College Level
66,Local-gov,Craft-repair,40,<=50K,61-70,School Level
69,Private,Machine-op-inspct,40,<=50K,61-70,School Level
55,Local-gov,Prof-specialty,40,<=50K,51-60,Masters
57,Federal-gov,Adm-clerical,40,<=50K,51-60,School Level
20,Self-emp-not-inc,Farming-fishing,10,<=50K,17-20,College Level
30,Self-emp-not-inc,Sales,40,<=50K,21-30,College Level
40,Private,Tech-support,48,<=50K,31-40,College Level
38,Private,Machine-op-inspct,55,>50K,31-40,College Level
46,State-gov,Adm-clerical,38,>50K,41-50,Associate
29,Private,Exec-managerial,45,>50K,21-30,College Level
57,Federal-gov,Adm-clerical,40,<=50K,51-60,College Level
39,Private,Craft-repair,42,>50K,31-40,School Level
47,Private,Exec-managerial,40,>50K,41-50,College Level
26,Private,Exec-managerial,45,>50K,21-30,College Level
27,Self-emp-not-inc,Craft-repair,50,<=50K,21-30,School Level
23,Private,Prof-specialty,40,>50K,21-30,College Level
34,Private,Prof-specialty,50,<=50K,31-40,Masters
33,Private,Craft-repair,42,<=50K,31-40,School Level
38,Local-gov,Prof-specialty,60,<=50K,31-40,Masters
57,Private,Adm-clerical,38,>50K,51-60,College Level
36,Private,Exec-managerial,70,<=50K,31-40,School Level
44,Federal-gov,Tech-support,40,>50K,41-50,College Level
49,State-gov,Exec-managerial,50,>50K,41-50,Masters
44,Self-emp-inc,Sales,60,<=50K,41-50,College Level
55,Private,Farming-fishing,62,>50K,51-60,College Level
45,Private,Farming-fishing,44,>50K,41-50,School Level
48,Private,Exec-managerial,40,>50K,41-50,School Level
31,Private,Exec-managerial,45,>50K,31-40,College Level
55,Local-gov,Prof-specialty,40,>50K,51-60,School Level
70,Self-emp-not-inc,Exec-managerial,40,>50K,61-70,College Level
70,Self-emp-not-inc,Exec-managerial,8,>50K,61-70,Masters
73,Private,Prof-specialty,40,>50K,71-80,College Level
72,Self-emp-not-inc,Prof-specialty,28,>50K,71-80,College Level
31,Private,Machine-op-inspct,40,<=50K,31-40,School Level
28,Private,Adm-clerical,35,<=50K,21-30,School Level
23,Self-emp-not-inc,Adm-clerical,40,>50K,21-30,College Level
49,Local-gov,Handlers-cleaners,40,>50K,41-50,School Level
27,Local-gov,Protective-serv,40,>50K,21-30,College Level
90,Private,Other-service,40,<=50K,81-90,School Level
68,Private,Adm-clerical,30,<=50K,61-70,School Level
65,Private,Adm-clerical,59,<=50K,61-70,School Level
67,Private,Exec-managerial,5,<=50K,61-70,College Level
66,Local-gov,Prof-specialty,25,<=50K,61-70,College Level
24,Private,Adm-clerical,24,<=50K,21-30,College Level
44,Self-emp-not-inc,Machine-op-inspct,35,<=50K,41-50,College Level
35,Private,Adm-clerical,40,<=50K,31-40,College Level
20,Private,Other-service,18,<=50K,17-20,Associate
38,Private,Craft-repair,40,<=50K,31-40,School Level
39,Private,Other-service,40,<=50K,31-40,College Level
32,Private,Machine-op-inspct,40,<=50K,31-40,College Level
42,Private,Handlers-cleaners,40,<=50K,41-50,School Level
42,Self-emp-inc,Exec-managerial,60,>50K,41-50,Masters
64,Private,Craft-repair,40,<=50K,61-70,School Level
28,Private,Handlers-cleaners,40,<=50K,21-30,School Level
41,Self-emp-not-inc,Craft-repair,40,<=50K,41-50,School Level
58,Self-emp-not-inc,Transport-moving,18,<=50K,51-60,School Level
59,State-gov,Exec-managerial,40,<=50K,51-60,College Level
